Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
 234 | (4,00,3,00,7,00) | (4,00,4,00,7,00) | (3,00,4,00,7,00) | 1,41
 235 | (5,00,4,00,7,00) | (4,00,4,00,7,00) | (4,00,3,00,7,00) | 1,41
 236 | (4,00,5,00,1,00) | (4,00,4,00,1,00) | (3,00,4,00,1,00) | 1,41
 237 | (5,00,4,00,1,00) | (4,00,4,00,1,00) | (4,00,5,00,1,00) | 1,41
 238 | (3,00,4,00,1,00) | (4,00,4,00,1,00) | (4,00,3,00,1,00) | 1,41
 239 | (4,00,3,00,1,00) | (4,00,4,00,1,00) | (5,00,4,00,1,00) | 1,41
 240 | (4,00,2,00,6,48) | (3,00,2,00,6,27) | (4,00,1,52,6,00) | 1,14
 241 | (5,00,2,00,6,27) | (4,00,2,00,6,48) | (5,00,1,73,6,00) | 1,14
 242 | (2,57,2,00,6,00) | (3,00,2,00,6,27) | (2,00,3,00,6,27) | 1,41
 243 | (4,00,2,91,7,00) | (3,00,3,00,6,87) | (4,00,2,00,6,48) | 1,47
 244 | (4,24,3,00,7,00) | (4,00,2,00,6,48) | (5,00,3,00,6,87) | 1,47
 245 | (6,00,2,57,6,00) | (6,00,3,00,6,27) | (5,00,2,00,6,27) | 1,41
 246 | (2,00,3,00,6,27) | (2,00,4,00,6,48) | (1,73,3,00,6,00) | 1,14
 247 | (3,00,3,76,7,00) | (2,00,4,00,6,48) | (3,00,3,00,6,87) | 1,47
 248 | (5,09,4,00,7,00) | (5,00,3,00,6,87) | (6,00,4,00,6,48) | 1,47
 249 | (6,00,4,00,6,48) | (6,00,3,00,6,27) | (6,48,4,00,6,00) | 1,14
 250 | (1,00,4,24,5,00) | (1,52,4,00,6,00) | (1,13,5,00,5,00) | 1,47
 251 | (7,00,4,00,5,09) | (6,87,5,00,5,00) | (6,48,4,00,6,00) | 1,47
 252 | (2,00,6,00,5,43) | (1,73,6,00,5,00) | (1,73,5,00,6,00) | 1,41
 253 | (6,00,5,43,6,00) | (6,27,5,00,6,00) | (6,27,6,00,5,00) | 1,41
 254 | (2,57,6,00,6,00) | (3,00,6,27,6,00) | (2,00,6,27,5,00) | 1,41
 255 | (4,00,7,00,5,09) | (3,00,6,87,5,00) | (4,00,6,48,6,00) | 1,47
 256 | (4,24,7,00,5,00) | (4,00,6,48,6,00) | (5,00,6,87,5,00) | 1,47
 257 | (6,00,6,00,5,43) | (6,00,6,27,5,00) | (5,00,6,27,6,00) | 1,41
 258 | (2,57,2,00,2,00) | (3,00,1,73,2,00) | (2,00,1,73,3,00) | 1,41
 259 | (4,00,1,00,2,91) | (3,00,1,13,3,00) | (4,00,1,52,2,00) | 1,47
 260 | (4,24,1,00,3,00) | (4,00,1,52,2,00) | (5,00,1,13,3,00) | 1,47
 261 | (6,00,2,00,2,57) | (6,00,1,73,3,00) | (5,00,1,73,2,00) | 1,41
 262 | (2,00,2,00,2,57) | (1,73,2,00,3,00) | (1,73,3,00,2,00) | 1,41
 263 | (6,00,2,57,2,00) | (6,27,3,00,2,00) | (6,27,2,00,3,00) | 1,41
 264 | (1,00,3,76,3,00) | (1,52,4,00,2,00) | (1,13,3,00,3,00) | 1,47
 265 | (7,00,4,00,2,91) | (6,87,3,00,3,00) | (6,48,4,00,2,00) | 1,47
 266 | (2,00,4,00,6,48) | (2,00,5,00,6,27) | (1,52,4,00,6,00) | 1,14
 267 | (2,91,4,00,7,00) | (3,00,5,00,6,87) | (2,00,4,00,6,48) | 1,47
 268 | (5,00,4,24,7,00) | (6,00,4,00,6,48) | (5,00,5,00,6,87) | 1,47
 269 | (6,00,5,00,6,27) | (6,00,4,00,6,48) | (6,27,5,00,6,00) | 1,14
